date,surface_temp,solar_zenith,surface_albedo
2015-04-10,-16.293070055805003,81.19951129196313,0.6451661109019516
2015-04-11,-19.68811573558463,79.50285430589867,0.6449393480986519
2015-04-12,-18.356572029723793,80.91303999380864,0.6374793671864444
2015-04-13,-13.508947678228196,80.86527233241,0.6380065553869534
2015-04-14,-17.332242812912426,80.3700827183628,0.6402441972605954
2015-04-15,-15.941344031877748,82.24443031486472,0.6400725002748391
2015-04-16,-16.53858026729415,80.32487937181799,0.6416096981128326
2015-04-17,-21.34685784976955,83.35117070474229,0.6475326930683625
2015-04-18,-16.16603149704838,81.55862563915454,0.6472583402536726
2015-04-19,-28.467878715984426,81.98061394918817,0.6473863904383036
2015-04-20,-27.101204542331175,82.85422956086943,0.5770743592714427
2015-04-21,-23.169820845229083,81.20554847072741,0.604895381522718
2015-04-22,-28.655008907926145,91.06515772817467,0.547906057636289
2015-04-23,-23.85225676485834,82.34614196696558,0.6239727272727273
2015-04-24,-23.706992308381217,88.77604146421005,0.6101966292134832
2015-04-25,-18.532010502992023,83.52869345726702,0.6174512195121952
2015-08-14,-35.60295577337348,87.27696390192523,0.6893326093109171
2015-08-15,-39.54775730563239,86.12808184773037,0.6899087281919937
2015-08-16,-36.19484532572133,84.11146179167832,0.6910002400151243
2015-08-17,-36.60215210965919,86.07520779782517,0.6922691990037237
2015-08-18,-37.12610871296741,82.3030505091123,0.6934906784556629
2015-08-19,-29.61301644040418,86.18150396068603,0.6956103110154221
2015-08-20,-35.24631103192965,82.12935523180926,0.6963779774238442
2015-08-21,-32.48359965801103,86.16119092690548,0.7018225639799297
2015-08-22,-32.28108366466884,81.99818735316714,0.6905078147306114
2015-08-23,-41.696478752395166,85.75819854424726,0.690815667335294
2015-08-24,-30.06060262946346,81.90313353426961,0.6916392678369506
2015-08-25,-41.64569253894393,80.75349893451165,0.6947904215043486
2015-08-26,-41.6955804574701,81.85798903003254,0.6879125965087479
2015-08-27,-35.38320347202398,82.22711305506265,0.6881519863734386
2015-08-28,-30.35380247761333,81.83501038954573,0.6915579173479689
2015-08-29,-23.876221622038514,80.44042063011656,0.693149544499677
2015-08-30,-30.72629658248738,81.8559044142441,0.697798053104683
2015-09-01,-36.412303614534295,81.52792008700776,0.674230722358998
2015-09-02,-26.6281206090367,79.14592250266712,0.6889474486404754
2015-09-03,-59.59380952380951,81.99800122026714,0.6806807505355515
2015-09-04,-37.124496468393176,78.95433913754876,0.6967413991067964
2015-09-05,-30.7495800378841,81.02524745858273,0.6950772799201963
2015-09-06,-30.698465244391855,78.87929491910015,0.68247402913701
2015-09-07,-34.219895897233954,80.42813847338066,0.6915117069946801
2015-09-08,-30.92281099264534,78.58688172667095,0.6785478552038255
2015-09-09,-31.856465548215652,80.15184126714314,0.7034117665937121
2015-09-10,-28.67363020746157,78.37193489743112,0.6901117678685763
2015-09-11,-27.828544525578224,79.75343205889321,0.6865972094151485
2015-09-12,-26.95797116232393,78.41553479903591,0.6751185526345562
2015-09-13,-28.04794587411388,77.094504872777,0.68064193728889
2015-09-14,-34.73051119248623,76.30413126371575,0.6778610676283879
2015-09-15,-39.16168965897208,81.04508622714921,0.6801081169530637
2015-09-16,-30.13676331293391,77.73391714205944,0.6751643914869561
2015-09-17,-26.772946110682398,79.54380941720129,0.6675467755450043
2015-09-18,-26.401628813625905,76.53949194595982,0.6641893910601474
2015-09-19,-37.010162368935255,76.99937373620102,0.664553908307921
2015-09-20,-31.3866934634826,77.5044357017296,0.6692699979045336
2015-09-21,-20.78656726449077,75.22698171948497,0.6701203982177472
2015-09-22,-33.75631129752617,78.43476182539796,0.6762596732417983
2015-09-23,-36.36128763974369,74.78819987092518,0.6771698560898448
2015-09-24,-29.91139711377525,77.35412255462866,0.6969368352997882
2015-09-25,-26.189590072251008,75.07196315428695,0.6957603962900867
2015-09-26,-31.407900951771296,76.02752353885779,0.6946031205554483
2015-09-27,-20.284381502558546,74.26630171694212,0.6970018746241728
2015-09-28,-16.591225405900616,73.46096878299412,0.6945908742791436
2015-09-29,-25.196952697750476,76.03592048224732,0.7002461086813869
2015-09-30,-32.15985126689196,71.05406013996442,0.7002551420296437
2015-10-01,-13.936898260244675,72.99720434708095,0.6941863065872583
2015-10-02,-28.791773869323265,72.3684727409163,0.6974940033455258
2015-10-03,-18.435944551315743,73.40905259172028,0.7008449685123094
2015-10-04,-19.96392668643486,70.74567689175949,0.7170725004088938
2015-10-05,-21.8931393881048,69.75764760949237,0.7264039096840386
2015-10-06,-14.095273704243198,70.79215454138387,0.7247426905274513
2015-10-07,-23.517325277197216,69.19241648424843,0.7301332290884952
2015-10-08,-20.49479133730955,70.48254959702153,0.729134121507543
2015-10-09,-28.686612738533597,68.83326112198246,0.7304709400620228
2015-10-10,-20.14409698233635,69.25573650381685,0.7303803926609569
2015-10-11,-14.695608514164519,67.15540371635606,0.7284807768382278
2015-10-12,-24.109661925443504,66.25480696008353,0.7343879132122691
2015-10-13,-20.923892144896172,68.63019041972754,0.7353310259038827
2015-10-14,-19.94051372204629,67.04073350497205,0.7385331225391886
2015-10-15,-29.950285213920807,66.39382657142214,0.73797862901386
2015-10-16,-31.281096877152322,65.7051442278458,0.7465600922980826
2015-10-17,-18.820750507394223,67.05652563528507,0.7478651910950618
2015-10-18,-39.369231441048015,66.70089696411875,0.7497967092070048
2015-10-19,-22.090985799866075,65.60273029745217,0.7533516939532371
2015-10-20,-17.56867967809268,63.356970475890314,0.7391200976041172
2015-10-21,-13.724253981277968,63.45422325223997,0.7360555353940957
2015-10-22,-21.920365417694995,62.141258844518745,0.7396783298120428
2015-10-23,-8.56864377525136,63.123306025881206,0.7382135628815669
2015-10-24,-17.17343607854977,64.19699024615394,0.7390856461460065
2015-10-25,-15.681547233563322,62.97284936264186,0.7414475462932512
2015-10-26,-14.365879038895116,63.420266782474556,0.7401471872396714
2015-10-27,-13.40631300931318,63.91363346073739,0.7447366184654161
2015-10-28,-18.15360494301899,64.32347734744485,0.7455766581711957
2015-10-29,-14.297746677159694,62.273279425297865,0.7438540985219158
2015-10-30,-36.729425359200945,62.21594475670132,0.7467505470196245
2015-10-31,-18.20420993879239,62.84903950192551,0.7474204562699849
2015-11-01,-36.782547500825444,61.25638291012455,0.7394806993557569
2015-11-02,-21.583927112505734,61.02763157047357,0.7439798695461924
2015-11-03,-17.31430341791301,59.89979126390768,0.748907671167484
2015-11-04,-19.910040036552346,61.71116928253564,0.7466167900373497
2015-11-05,-11.759006369626604,59.39305226058433,0.7456664528745615
2015-11-06,-14.269157523358501,59.22080218053345,0.7457273885452194
2015-11-07,-12.415628572911544,60.18487785631526,0.7534571497955955
